,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,USG%,PACE,PIE,POSS
1,Danny Green,TOR,32,24,16,8,28.5,112.3,104.2,8.1,5.1,1,12,2.5,9.8,6.3,12,46.8,50.3,12.3,97.62,4.5,1389
1,Fred VanVleet,TOR,25,24,16,8,24.7,105.8,102.9,2.9,16.8,2.95,23.6,1.1,5.2,3.2,8,50.6,53.4,15.1,96.7,6.5,1192
1,Kawhi Leonard,TOR,28,24,16,8,39.1,112.8,104.5,8.3,18.8,1.27,12.5,5.8,17.2,11.5,9.9,54.5,61.9,31,96.39,19.2,1886
1,Kyle Lowry,TOR,33,24,16,8,37.5,112.1,103.7,8.3,26.8,2.94,30.2,2.3,10.4,6.4,10.3,53.4,57.7,18.2,96,10.2,1806
1,Marc Gasol,TOR,34,24,16,8,30.6,109.6,104.3,5.2,14.7,3.48,24.7,2.2,19.2,10.5,7.1,51.7,56.4,13.5,96.24,9.8,1473
1,Pascal Siakam,TOR,25,24,16,8,37.1,109,103.8,5.2,12.6,2,12.6,4.5,14.3,9.5,6.3,50.8,54,22.8,96.64,11.6,1796
1,Serge Ibaka,TOR,29,24,16,8,20.8,108.7,99.9,8.8,7.4,0.88,8.5,7,19.4,13.5,9.7,50,53.2,21.2,97.3,10.3,1010
8,Norman Powell,TOR,26,23,15,8,15.9,106,97.5,8.5,11.4,2.17,15.1,1.3,11.2,6.5,7,54,55.8,17.6,98.54,9.1,754
9,Alfonzo McKinnie,GSW,26,22,14,8,10.7,112.1,111.6,0.5,2.3,0.67,5.5,7.1,12.7,10,8.2,52.5,52.1,11.8,102.76,3.9,505
9,Draymond Green,GSW,29,22,14,8,38.7,116.2,109.6,6.6,29.9,2.25,35.2,5,20.5,13,15.6,52.6,56.1,17.1,99.82,12.4,1773
9,Shaun Livingston,GSW,33,22,14,8,14.6,105.2,111.1,-6,14.8,3.88,24.6,3.3,6.1,4.6,6.3,45.3,51.7,12.8,95.88,6,639
9,Stephen Curry,GSW,31,22,14,8,38.4,116.1,110.1,6,23.1,1.91,18.4,2.1,13.1,7.8,9.6,54.8,62,28,99.94,15,1767
13,Andre Iguodala,GSW,35,21,13,8,30,115.5,110.4,5.1,18.2,3.95,28.8,4.4,10.2,7.3,7.3,57.8,56.5,13.8,100.15,9.1,1314
13,Kevon Looney,GSW,23,21,14,7,20.5,117.1,106.1,11,6.4,1.54,14.3,10.2,11.4,10.8,9.3,68.8,70.4,11.6,101.53,9.1,911
13,Klay Thompson,GSW,29,21,14,7,39,112.7,112.3,0.4,8.1,1.16,9.6,1.5,9,5.3,8.3,55.3,57.5,21.6,99.02,9,1694
16,Andrew Bogut,GSW,34,19,13,6,9.4,109,110.2,-1.2,16.3,2.1,30,12.8,28.7,20.7,14.3,64.9,66.3,11.6,98.95,12.2,365
17,Quinn Cook,GSW,26,17,11,6,11.4,97.6,115.2,-17.6,10.2,2,13.5,1.1,7.9,4.6,6.7,47.9,49.5,16.7,100.06,5.9,410
18,Al-Farouq Aminu,POR,28,16,8,8,24.9,109.6,111.5,-1.9,7.5,1.31,13,6.7,17.5,11.9,9.9,41.7,47.3,14.7,98.97,7.2,821
18,CJ McCollum,POR,27,16,8,8,39.7,110.9,111.8,-0.9,16,1.97,12.7,2.1,10,6,6.5,50.6,52.7,27.3,98.16,11,1298
18,Damian Lillard,POR,28,16,8,8,40.6,110.7,112,-1.3,26.9,1.77,19.4,1.1,10.2,5.6,11,50.8,56.6,28.6,98.49,13,1336
18,Enes Freedom,POR,27,16,8,8,28.8,110.1,109.6,0.5,6.4,0.73,9,10.1,21.2,15.5,12.3,51.7,55.5,17.2,97.87,11.7,941
18,Evan Turner,POR,30,16,8,8,15.3,106.7,106.4,0.3,20.3,2.69,34.7,5,21.3,13.5,12.9,33.7,40.9,11.8,97.09,9,494
18,Jonas Jerebko,GSW,32,16,11,5,7.6,106.2,113.1,-6.9,15.6,6,20.3,12.1,15.4,13.8,3.4,34.5,38.1,16.5,94.65,7.4,241
18,Maurice Harkless,POR,26,16,8,8,24.2,108.7,111.4,-2.7,8.6,1.35,13.9,6.8,13.2,9.8,10.3,50.9,53.7,15.2,99.91,6.8,801
18,Rodney Hood,POR,26,16,8,8,23.3,106.4,106.9,-0.5,6,2,9.3,2.3,6.4,4.4,4.6,55,60.6,16,96.61,8.6,751
18,Seth Curry,POR,28,16,8,8,20.4,108.1,103.8,4.3,5.7,1.86,12.3,1.4,5.5,3.4,6.6,49.4,51.8,12,97.28,4.8,665
18,Zach Collins,POR,21,16,8,8,17.2,102.4,105.6,-3.2,8.6,0.7,11.2,5.8,13.1,9.5,16,54.9,59.2,17.5,96.17,8.2,548
28,Brook Lopez,MIL,31,15,10,5,29.2,110.3,99.4,11,6.7,2.1,11.9,2.6,13.8,8.4,5.6,53.7,57.2,15.1,101.32,8.9,922
28,Eric Bledsoe,MIL,29,15,10,5,28.2,106.6,97,9.6,24.1,2,21.1,4.2,7.2,5.8,10.5,45.7,49.4,23.3,103.16,9.8,908
28,Ersan Ilyasova,MIL,32,15,10,5,18.2,113.9,99.5,14.4,10.9,3,17.4,7.4,16.5,12.3,5.8,50.6,55.4,15.4,102.24,9.1,582
28,George Hill,MIL,33,15,10,5,26.3,111.7,101.2,10.5,16.6,7,23.2,3.7,8.6,6.2,3.3,61.9,65.3,15.1,100.5,11.3,819
